iter	Logloss
0	0.5997623466
1	0.5295054031
2	0.4724739361
3	0.4156030591
4	0.3710049854
5	0.3356675379
6	0.3073170725
7	0.2854355339
8	0.2588541147
9	0.2421043142
10	0.2286213617
11	0.2115011728
12	0.1978557151
13	0.1847400214
14	0.1747342164
15	0.1662996431
16	0.1594844478
17	0.1514666718
18	0.1470393881
19	0.138131071
20	0.1338354093
21	0.1297549589
22	0.1249880255
23	0.1212922399
24	0.1146988584
25	0.1081608946
26	0.1041367094
27	0.1008801417
28	0.0964763358
29	0.0919806109
30	0.08996837072
31	0.08775263639
32	0.08443784139
33	0.08240166089
34	0.08019690594
35	0.07816903366
36	0.07544070337
37	0.07403912406
38	0.07172277464
39	0.07094046422
40	0.06992170489
41	0.0677309473
42	0.06611842012
43	0.06517548472
44	0.06327550373
45	0.06225168472
46	0.06073562954
47	0.0591879736
48	0.05765717928
49	0.05680773163
50	0.05574052818
51	0.05442324992
52	0.05293488354
53	0.05194980472
54	0.05085084434
55	0.04981635103
56	0.04902875064
57	0.04821287016
58	0.0473678086
59	0.04646333196
60	0.04597407376
61	0.04480952685
62	0.04382188825
63	0.04287977402
64	0.04201807861
65	0.04121426991
66	0.04063787734
67	0.04022933809
68	0.03908438775
69	0.03866951988
70	0.03806692648
71	0.03792724431
72	0.0376262918
73	0.03713709543
74	0.03656518197
75	0.03594060048
76	0.03542056588
77	0.03491743039
78	0.03434997659
79	0.03365348116
80	0.03312156202
81	0.03277351131
82	0.03208569583
83	0.03174108268
84	0.03119280988
85	0.03083971055
86	0.03047397537
87	0.02993853479
88	0.0297313285
89	0.02908170722
90	0.02889582682
91	0.02798586316
92	0.02749683195
93	0.0270914394
94	0.02662547532
95	0.02626982002
96	0.02606246629
97	0.02592529215
98	0.02539972968
99	0.02495334719
100	0.02480324428
101	0.02440462072
102	0.02399812151
103	0.02363097634
104	0.02333646991
105	0.02299207454
106	0.02275222166
107	0.02245432066
108	0.0221655069
109	0.02195376275
110	0.02138734614
111	0.02118829882
112	0.02105440161
113	0.02055894419
114	0.02011480237
115	0.01980811954
116	0.01950039667
117	0.01927168905
118	0.01888153548
119	0.01859046947
120	0.01816055161
121	0.01796401808
122	0.0178095727
123	0.01740451009
124	0.01720990321
125	0.01706165874
126	0.01677753986
127	0.01666741673
128	0.01648078542
129	0.01629103493
130	0.01607931899
131	0.01594915943
132	0.01569303668
133	0.01553790979
134	0.01542313861
135	0.01528217305
136	0.01513597314
137	0.01495246318
138	0.01479291117
139	0.01453275727
140	0.01438549095
141	0.01428528506
142	0.01399009147
143	0.01379205324
144	0.01366270024
145	0.01354951939
146	0.01337966852
147	0.01315238889
148	0.01305280833
149	0.01289699594
150	0.01278465395
151	0.01255838239
152	0.01228717854
153	0.01209012659
154	0.01190966605
155	0.01170870144
156	0.01158330098
157	0.01148785276
158	0.01142610825
159	0.0113165533
160	0.01118963026
161	0.01109324913
162	0.0109071426
163	0.0107244188
164	0.01055901099
165	0.0104662048
166	0.01035794668
167	0.01018239246
168	0.01004542182
169	0.00996336194
170	0.009915047912
171	0.009762371417
172	0.009690811745
173	0.009532845334
174	0.009434643186
175	0.009375074499
176	0.009202470953
177	0.009087575007
178	0.008947167607
179	0.008783166889
180	0.008753935928
181	0.008691299158
182	0.00863445406
183	0.008503844429
184	0.008379409751
185	0.008316073331
186	0.008284568954
187	0.008215545655
188	0.008171402657
189	0.008052569566
190	0.00792989327
191	0.007825078587
192	0.007773426775
193	0.007679853929
194	0.007547892517
195	0.007464200649
196	0.007308193703
197	0.007213092659
198	0.007123912594
199	0.007045430491
